externalId,name.fr,slug.fr
1151,multiprises,1151_multiprises
1154,papiers d'aluminium,1154_papiers-daluminium
1155,échelles,1155_echelles
1157,crochets,1157_crochets
1158,câbles USB,1158_cables-usb
1159,sceaux,1159_sceaux
1160,films adhésifs,1160_films-adhesifs
1162,pinceaux,1162_pinceaux
1163,ampoules,1163_ampoules
1164,ampoules halogènes,1164_ampoules-halogenes
1165,ampoules fluorescentes,1165_ampoules-fluorescentes
1168,plafonniers fluorescents,1168_plafonniers-fluorescents
1169,bougies en cire,1169_bougies-en-cire
1170,non classé,1170_non-classe
1171,torches et lampes de poche,1171_torches-et-lampes-de-poche
1172,ranges-câbles et serres câbles,1172_ranges-cables-et-serres-cables
1174,circulateurs d'air,1174_circulateurs-dair
1175,ventilateurs,1175_ventilateurs
1176,climatiseurs split- système,1176_climatiseurs-split-systeme
1177,filtres d'air,1177_filtres-dair
1178,règles,1178_regles
1179,stations d'accueil pour caméras,1179_stations-daccueil-pour-cameras
1185,portes-papier,1185_portes-papier
1186,compteuses de pièces et de billets,1186_compteuses-de-pieces-et-de-billets
1188,vaporisateurs d'air compressé,1188_vaporisateurs-dair-compresse
1190,kits de reliure,1190_kits-de-reliure
1192,détecteurs de faux billets,1192_detecteurs-de-faux-billets
1193,rapporteurs,1193_rapporteurs
1194,modèles brouillon,1194_modeles-brouillon
1195,chevalets,1195_chevalets
1196,tableaux effaçables à sec et accessoires,1196_tableaux-effacables-a-sec-et-accessoires
1197,tableaux à craie et accessoires,1197_tableaux-a-craie-et-accessoires
1198,marques-pages,1198_marques-pages
1199,compartiments de classement,1199_compartiments-de-classement
1200,solutions pour développeurs,1200_solutions-pour-developpeurs
1201,fixations,1201_fixations
1203,cadenas,1203_cadenas
1204,coffres-forts,1204_coffres-forts
1205,portes-clés,1205_portes-cles
1206,gants de protection,1206_gants-de-protection
1207,vestes de protection,1207_vestes-de-protection
1208,ballons de jeu,1208_ballons-de-jeu
1209,casques de protection,1209_casques-de-protection
1210,vêtements de protection,1210_vetements-de-protection
1211,pièces de mobilier pour ordinateurs,1211_pieces-de-mobilier-pour-ordinateurs
1212,bureaux d'ordinateurs,1212_bureaux-dordinateurs
1213,tables,1213_tables
1215,chaises et fauteuils de bureau,1215_chaises-et-fauteuils-de-bureau
1216,pictogrammes,1216_pictogrammes
1217,pictogrammes adhésifs,1217_pictogrammes-adhesifs
1218,plaques non-métalliques,1218_plaques-non-metalliques
1219,rubans d'étiquettes,1219_rubans-detiquettes
1220,dictionnaires,1220_dictionnaires
1221,peintures pour loisir,1221_peintures-pour-loisir
1222,cartes,1222_cartes
1223,horloges murales,1223_horloges-murales
1224,lunettes de protection,1224_lunettes-de-protection
1225,protections auditives,1225_protections-auditives
1226,bouchons d'oreilles anti-bruit,1226_bouchons-doreilles-anti-bruit
1227,,1227_
1228,protection et sécurité des personnes,1228_protection-et-securite-des-personnes
1229,Masques de protection,1229_masques-de-protection
1231,protections contre le feu,1231_protections-contre-le-feu
1232,plieuses de documents,1232_plieuses-de-documents
1233,chariots de ménage,1233_chariots-de-menage
1234,aspirateurs,1234_aspirateurs
1235,Accessoires pour aspirateur,1235_accessoires-pour-aspirateur
1236,poubelles & accessoires,1236_poubelles-accessoires
1237,sacs poubelles,1237_sacs-poubelles
1239,cendriers,1239_cendriers
1242,papiers carbone,1242_papiers-carbone
1243,nettoyant sol,1243_nettoyant-sol
1244,éponges de grattage,1244_eponges-de-grattage
1245,éponges,1245_eponges
1246,balais,1246_balais
1247,brosses de nettoyage,1247_brosses-de-nettoyage
1248,,1248_
1249,fournitures de toilettes,1249_fournitures-de-toilettes
1250,distributeurs de serviettes en papier,1250_distributeurs-de-serviettes-en-papier
1251,distributeurs de savons et lotions,1251_distributeurs-de-savons-et-lotions
1252,accessoires de WC,1252_accessoires-de-wc
1253,diffuseurs d'air,1253_diffuseurs-dair
1254,dérouleurs de papier toilette,1254_derouleurs-de-papier-toilette
1255,tasses et mugs,1255_tasses-et-mugs
1256,plateaux repas,1256_plateaux-repas
1258,appareils/robots pour faire la crème,1258_appareilsrobots-pour-faire-la-creme
1259,sucres et produits édulcorants,1259_sucres-et-produits-edulcorants
1260,barres chocolatées,1260_barres-chocolatees
1261,soupes préparées,1261_soupes-preparees
1262,"chips, bretzels, et mixs de gâteaux apéritifs",1262_chips-bretzels-et-mixs-de-gateaux-aperitifs
1263,cafés et thés,1263_cafes-et-thes
1264,bières,1264_bieres
1265,nourriture,1265_nourriture
1266,boissons non-alcoolisées,1266_boissons-non-alcoolisees
1267,tapis,1267_tapis
1269,paniers à linge,1269_paniers-a-linge
1270,spatules de cuisine,1270_spatules-de-cuisine
1271,couverts,1271_couverts
1272,"plats, casseroleries et vaisselles",1272_plats-casseroleries-et-vaisselles
1273,savons,1273_savons
1274,portes outils,1274_portes-outils
